PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA, ENV_HBA_OCC_SUM, ENV_HBA_OCC_MAX, ENV_HBD_OCC_SUM, ENV_HBD_OCC_MAX, PI_AR_SCORE_SUM, PI_AR_SCORE_MAX, AR_PI_SCORE_SUM, AR_PI_SCORE_MAX, H_H_SCORE_SUM, H_H_SCORE_MAX, AR_AR_SCORE_SUM, AR_AR_SCORE_MAX, HBD_HBA_SCORE_SUM, HBD_HBA_SCORE_MAX, HBA_HBD_SCORE_SUM, HBA_HBD_SCORE_MAX, XBD_XBA_SCORE_SUM, XBD_XBA_SCORE_MAX, ES_ENERGY, ES_ENERGY_SQRD_DIST, VDW_ENERGY_ATT, VDW_ENERGY_REP
4ei4,0.0,0.0,3.0,8.0,2.0,5.0,0.0,0.0,20.0,1.0,2.6133484133609994,1.5458456761254995,66.72999999999999,7.42446712739761,5.5583584700284,0.2548382430897604,0.2548382427419609,0.0,0.0,0.0,0.0,10.093095289689431,1.7126049264832397,0.0186144333989481,0.0186144333989481,2.9976282512912995,1.999909840042163,0.9950945794662434,0.9950945794657308,0.0,0.0,0.0245416612182032,-0.0796209282726992,-152.70257941374965,71.70165349238378
4e5w,1.0,0.0,3.0,9.0,2.0,5.0,0.0,0.0,28.0,3.0,3.406418487199,2.2359008679582004,71.25,15.119623823222392,13.76267144769459,0.048320658353432,0.0483206491491966,0.0,0.0,0.0,0.0,9.400162768824972,1.4604425175383355,0.7969302766406191,0.7969302766406191,1.979345484399209,1.9784813464101672,0.999889512649881,0.9998895126491132,0.0,0.0,0.9177987985667,-0.0239075221835223,-189.7805062087837,87.431974187429
4ivd,0.0,0.0,3.0,11.0,2.0,6.0,0.0,0.0,25.0,5.0,3.91277861986,2.4185475367097,90.51999999999998,9.859389564316205,7.667291174399173,0.2096790012834233,0.2096790009743263,0.0,0.0,0.0,0.0,11.76734144136613,2.4957650064811,0.0132862770679848,0.0132862770679848,1.9266893634625637,1.8240717842779648,0.9969388290464452,0.9962161063106736,0.0,0.0,0.0053751091400906,-0.0777302343223877,-188.3934488480596,90.82489337078708
4i5c,0.0,0.0,3.0,6.0,1.0,7.0,0.0,0.0,23.0,3.0,2.049691672095,0.4311516271965996,103.49,10.168745125406277,8.412615172674277,0.2617003415364275,0.2617003413953204,0.0,0.0,0.0,0.0,9.265748849261486,1.3857188801714615,0.181847987869495,0.181847987869495,0.9999932188260388,0.9999932172021716,1.0006802482986494,1.0006802460011626,0.0,0.0,-0.4429938940786571,-0.0948633658031022,-165.50194760087876,80.583006657609
4ivc,0.0,0.0,3.0,9.0,2.0,6.0,0.0,0.0,24.0,4.0,3.231854573193,1.8720611650577,90.51999999999998,10.871140437704389,8.582381532520335,0.2261638453167976,0.2261638450323549,0.0,0.0,0.0,0.0,11.064848259076989,2.153642222175443,0.0174376582292702,0.0174376582292702,1.949324466300396,1.850857802929223,0.998305367327212,0.9973908180729926,0.0,0.0,-0.0815744560971389,-0.0783457122551869,-178.0088802727004,84.27709536808057
4k77,0.0,0.0,1.0,7.0,2.0,3.0,0.0,0.0,18.0,2.0,2.6289601071029995,1.38063790920134,66.91,9.136526885579649,7.394039664852083,0.0314712700469837,0.0314712700458461,0.0,0.0,0.0,0.0,5.074814616531737,1.2974369726573798,6.828983968046553e-08,6.828983968046553e-08,1.0255760841928232,1.0255760483049678,0.999496656209849,0.9994966562098088,0.0,0.0,0.0402458895114606,-0.0599107941923833,-126.1928837474513,55.6426572594737
4ivb,0.0,0.0,3.0,9.0,2.0,6.0,0.0,0.0,23.0,3.0,3.231854573193,1.5386829306369003,90.51999999999998,10.759121203904158,8.399966334549916,0.2056727768186717,0.2056727764983408,0.0,0.0,0.0,0.0,10.843877484921014,2.153523629228613,0.0239491350504081,0.0239491350504081,1.928275524222388,1.820945990770495,0.9965551949711564,0.9963149783198976,0.0,0.0,-0.081230837682543,-0.0783520557552907,-168.12373271166214,79.94636302232634
4e4n,0.0,0.0,3.0,11.0,2.0,5.0,0.0,0.0,25.0,4.0,3.971668360983,2.5691642690198004,84.83,9.21507114568739,8.054259220122072,0.0270832559345291,0.0270832162025056,0.0,0.0,0.0,0.0,10.07150207852346,2.264368181453277,0.669228520851845,0.669228520851845,1.839533200066618,1.8386983746576893,0.9997640025054022,0.9997640025012636,0.0,0.0,-0.1650424189692604,-0.0763090569219277,-175.70775129672546,79.17852777382885
4ehz,1.0,0.0,3.0,6.0,3.0,4.0,0.0,0.0,19.0,1.0,1.933664531603,0.7946203468004999,63.11,9.980619316129244,6.560271985225276,0.2468808305352467,0.2468808303901591,5.8318339355887886e-08,5.831798002945447e-08,0.0,0.0,9.3424200816685,1.3709067332407634,0.0117175475638891,0.0117175475638891,2.3132617823352124,1.9257583229913744,0.9952627963116976,0.9952627963111788,0.0,0.0,0.4788257967989325,-0.0826017257855553,-149.90469096155763,72.26608071474608
4e4l,0.0,0.0,3.0,7.0,1.0,6.0,0.0,0.0,23.0,2.0,2.436143550943,0.4873769903634001,92.26,11.640097654374944,10.172259058131855,0.6619525797997309,0.6619525797882204,0.0,0.0,0.0,0.0,9.559706696341072,1.6579389220478826,0.0236743178016978,0.0236743178016978,0.9999966775617364,0.9999966698382332,1.0038957234012194,1.0038957233654415,0.0,0.0,-0.4197135705366469,-0.0981988337165233,-163.70442685531836,76.59281816912295
4k6z,0.0,0.0,2.0,7.0,3.0,6.0,0.0,0.0,24.0,4.0,2.383740003384,0.42076234790844,119.38,12.739133628055392,10.33928265863718,0.029993670616483,0.0299936706118069,0.0,0.0,0.0,0.0,5.880280639840366,1.4432804464154056,0.2276802312986262,0.2276802312986262,1.0131376037175912,1.0109928934230827,0.9969522541649338,0.9969522538798266,0.0,0.0,-0.0686948380744486,-0.0709690950107203,-162.07148925832186,80.41147863864268
4fk6,0.0,0.0,3.0,8.0,2.0,6.0,0.0,0.0,25.0,4.0,2.819992844134,1.4281421525009006,101.04999999999998,11.680810740805407,9.995360657981868,0.1991278696536994,0.1991278360775221,0.0,0.0,0.0,0.0,10.683861001123873,1.882933960889276,0.0172109802778402,0.0172109802778402,2.1902824900637268,1.8498321890273468,0.9982715700097432,0.9982715696240604,0.0,0.0,-0.3736135528255372,-0.1025473294839019,-180.02698111577462,86.74673498883739
