Unnamed: 0,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
16,3fl9,IC50,77200000.0,1.11,-1.52,0.0
18,4lh2,Ki,58000000.0,1.24,-1.69,0.0
49,4lh3,Ki,30000000.0,1.52,-2.08,0.0
57,5ofv,Kd,26200000.0,1.58,-2.16,0.0
129,3pce,Ki,10000000.0,2.0,-2.73,0.0
142,5nzq,Kd,9300000.0,2.03,-2.77,0.0
197,5nzp,Kd,6500000.0,2.19,-2.98,0.0
222,5nzo,Kd,5800000.0,2.24,-3.05,0.0
243,1jdj,IC50,5000000.0,2.3,-3.14,0.0
244,1n1g,IC50,5000000.0,2.3,-3.14,0.0
255,3pcg,Ki,5000000.0,2.3,-3.14,0.0
288,4aj2,Kd,4200000.0,2.38,-3.24,0.0
297,3pcb,Ki,4000000.0,2.4,-3.27,0.0
353,3ad7,Kd,3010000.0,2.52,-3.44,0.0
371,5n53,Kd,2800000.0,2.55,-3.48,0.0
409,4i8x,Kd,2300000.0,2.64,-3.6,0.0
472,3p4r,Ki,1900000.0,2.72,-3.71,0.0
501,2yiv,Ki,1660000.0,2.78,-3.79,0.0
515,5ofw,Kd,1600000.0,2.8,-3.81,0.0
528,2yc0,IC50,1500000.0,2.82,-3.85,0.0
533,4k7i,Kd,1500000.0,2.82,-3.85,0.0
538,6evm,Kd,1500000.0,2.82,-3.85,0.0
571,1cet,Ki,1300000.0,2.89,-3.93,0.0
601,1h2k,Ki,1200000.0,2.92,-3.98,0.0
633,1ykp,Kd,1100000.0,2.96,-4.03,0.0
678,2wa3,IC50,1000000.0,3.0,-4.09,0.0
705,4r3w,Ki,1000000.0,3.0,-4.09,0.0
731,3dc2,Ki,950000.0,3.02,-4.12,0.0
824,4aj1,Kd,770000.0,3.11,-4.25,0.0
825,4ajk,Kd,770000.0,3.11,-4.25,0.0
828,4wf4,Kd,777000.0,3.11,-4.24,0.0
856,2fr8,Kd,700000.0,3.15,-4.3,0.0
872,3ad8,Kd,690000.0,3.16,-4.31,0.0
907,2w0x,IC50,625000.0,3.2,-4.37,0.0
910,4nrm,IC50,627900.0,3.2,-4.37,0.0
1010,2xml,IC50,500000.0,3.3,-4.5,0.0
1086,2pnc,Ki,466000.0,3.33,-4.54,0.0
1101,4gwk,Kd,460000.0,3.34,-4.55,0.0
1106,3pwk,Ki,450000.0,3.35,-4.56,0.0
1113,4wet,Kd,444000.0,3.35,-4.57,0.0
1117,6q6f,Kd,445900.0,3.35,-4.57,0.0
1161,1ikt,Kd,400000.0,3.4,-4.63,0.0
1217,4kw6,IC50,374000.0,3.43,-4.67,0.0
1241,4bhf,IC50,343000.0,3.46,-4.72,0.0
1244,4nrq,IC50,347200.0,3.46,-4.72,0.0
1269,4k7n,Kd,330000.0,3.48,-4.75,0.0
1297,4wey,Kd,318000.0,3.5,-4.77,0.0
1351,2jbv,Kd,290000.0,3.54,-4.82,0.0
1371,3pjg,Ki,283000.0,3.55,-4.84,0.0
1373,4aji,Kd,280000.0,3.55,-4.84,0.0
1442,2oq6,IC50,250000.0,3.6,-4.91,0.0
1487,3pcc,Ki,240000.0,3.62,-4.94,0.0
1539,3pcn,Kd,220000.0,3.66,-4.99,0.0
1541,3tsd,Ki,218000.0,3.66,-4.99,0.0
1574,4aje,Kd,210000.0,3.68,-5.01,0.0
1600,1gz3,Ki,200000.0,3.7,-5.04,1e-05
1601,1gz4,Ki,200000.0,3.7,-5.04,1e-05
1662,1grp,Ki,189000.0,3.72,-5.08,1e-05
1667,2yde,IC50,189000.0,3.72,-5.08,1e-05
1687,4y5s,Kd,185000.0,3.73,-5.09,1e-05
1691,1ihy,Ki,180000.0,3.74,-5.11,1e-05
1783,4ajl,Kd,160000.0,3.8,-5.18,1e-05
