Unnamed: 0,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
2,1w8l,Ki,320000000.0,0.49,-0.67,0.0
3,3fqa,IC50,320000000.0,0.49,-0.67,0.0
14,1aw1,Ki,89000000.0,1.05,-1.43,0.0
25,1b74,Ki,50000000.0,1.3,-1.77,0.0
28,2igw,Kd,49000000.0,1.31,-1.79,0.0
54,1iig,Ki,27000000.0,1.57,-2.14,0.0
59,1w8m,Ki,25000000.0,1.6,-2.18,0.0
69,2sfp,Ki,20000000.0,1.7,-2.32,0.0
111,2rjr,IC50,11600000.0,1.94,-2.64,0.0
139,6ra1,Kd,10000000.0,2.0,-2.73,0.0
167,6r9u,Kd,7500000.0,2.12,-2.9,0.0
180,6r9s,Kd,7100000.0,2.15,-2.93,0.0
182,4tim,Ki,6900000.0,2.16,-2.95,0.0
199,2vvo,IC50,6300000.0,2.2,-3.0,0.0
214,2igv,Kd,5900000.0,2.23,-3.04,0.0
234,2rjs,IC50,5300000.0,2.28,-3.1,0.0
272,2qve,IC50,4800000.0,2.32,-3.16,0.0
335,1gyx,Ki,3300000.0,2.48,-3.38,0.0
355,3fq7,IC50,3000000.0,2.52,-3.44,0.0
423,1o8b,Ki,2100000.0,2.68,-3.65,0.0
478,4m6u,Ki,1800000.0,2.74,-3.74,0.0
488,2bet,Ki,1700000.0,2.77,-3.78,0.0
572,1iih,Ki,1300000.0,2.89,-3.93,0.0
607,2fkf,Kd,1200000.0,2.92,-3.98,0.0
613,3k8c,Ki,1200000.0,2.92,-3.98,0.0
646,6r9x,Kd,1100000.0,2.96,-4.03,0.0
668,1z9h,IC50,1000000.0,3.0,-4.09,0.0
681,2xp3,IC50,1000000.0,3.0,-4.09,0.0
723,6gjy,Kd,1000000.0,3.0,-4.09,0.0
761,1uj5,Ki,890000.0,3.05,-4.16,0.0
762,1uj6,Ki,890000.0,3.05,-4.16,0.0
789,1mdl,Ki,810000.0,3.09,-4.22,0.0
837,3kac,IC50,740000.0,3.13,-4.27,0.0
845,3odk,IC50,720000.0,3.14,-4.28,0.0
881,4hnc,Ki,670000.0,3.17,-4.33,0.0
909,3kab,IC50,630000.0,3.2,-4.36,0.0
919,6tim,Ki,610000.0,3.21,-4.38,0.0
996,1d7j,Kd,500000.0,3.3,-4.5,0.0
1001,1tpw,Ki,500000.0,3.3,-4.5,0.0
1034,4j58,IC50,500000.0,3.3,-4.5,0.0
1187,2v2c,Ki,390000.0,3.41,-4.65,0.0
1221,2xp5,IC50,360000.0,3.44,-4.7,0.0
1261,1tsi,Ki,330000.0,3.48,-4.75,0.0
1318,2j27,Ki,300000.0,3.52,-4.8,0.0
1347,4orx,Kd,297000.0,3.53,-4.81,0.0
1348,4ory,Kd,297000.0,3.53,-4.81,0.0
1415,6gjm,Kd,266000.0,3.58,-4.87,0.0
1435,1d7i,Kd,250000.0,3.6,-4.91,0.0
1507,1gyy,Ki,230000.0,3.64,-4.96,0.0
1578,4oru,Kd,210000.0,3.68,-5.01,0.0
1648,6gjj,Kd,200000.0,3.7,-5.04,1e-05
1695,2xp4,IC50,180000.0,3.74,-5.11,1e-05
1706,6gjr,Kd,184000.0,3.74,-5.09,1e-05
1883,6gjl,Kd,139000.0,3.86,-5.26,1e-05
1900,6gji,Kd,135000.0,3.87,-5.28,1e-05
1923,4dgb,Kd,130000.0,3.89,-5.3,1e-05
1972,2yim,Kd,120000.0,3.92,-5.35,1e-05
2014,4bi6,Kd,113300.0,3.95,-5.38,1e-05
2020,6cbg,Ki,113000.0,3.95,-5.38,1e-05
2466,5njx,Kd,70000.0,4.15,-5.66,1e-05
