Unnamed: 0,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
0,3zzf,Ki,400000000.0,0.4,-0.54,0.0
11,1p0y,Ki,100800000.0,1.0,-1.36,0.0
37,1o4l,IC50,40000000.0,1.4,-1.91,0.0
38,1o4m,IC50,40000000.0,1.4,-1.91,0.0
39,1o4n,IC50,40000000.0,1.4,-1.91,0.0
43,1ozv,Ki,36600000.0,1.44,-1.96,0.0
52,3mwe,Ki,29000000.0,1.54,-2.1,0.0
72,4tyb,Kd,19990000.0,1.7,-2.32,0.0
79,3zst,IC50,19000000.0,1.72,-2.35,0.0
84,5ggj,Kd,17780000.0,1.75,-2.39,0.0
88,5ggl,Kd,16520000.0,1.78,-2.43,0.0
90,1ga8,Ki,16000000.0,1.8,-2.45,0.0
96,3eqb,IC50,15000000.0,1.82,-2.49,0.0
97,4ahv,Kd,15000000.0,1.82,-2.49,0.0
101,1mwt,Kd,13300000.0,1.88,-2.56,0.0
103,2ay2,Kd,13100000.0,1.88,-2.57,0.0
116,2gga,IC50,11000000.0,1.96,-2.67,0.0
127,3c2f,Kd,10100000.0,2.0,-2.72,0.0
132,4ctk,IC50,10000000.0,2.0,-2.73,0.0
141,5ekx,IC50,9300000.0,2.03,-2.77,0.0
148,5eiw,IC50,9000000.0,2.05,-2.79,0.0
156,5tyh,IC50,8400000.0,2.08,-2.83,0.0
161,6r49,IC50,8000000.0,2.1,-2.86,0.0
168,1p2g,Ki,7400000.0,2.13,-2.91,0.0
170,6abx,Ki,7190000.0,2.14,-2.92,0.0
181,2ay9,Kd,6900000.0,2.16,-2.95,0.0
183,5fe6,Kd,6910000.0,2.16,-2.95,0.0
190,3l7d,Ki,6550000.0,2.18,-2.98,0.0
192,4ahr,Kd,6500000.0,2.19,-2.98,0.0
193,4ahs,Kd,6400000.0,2.19,-2.99,0.0
200,4eh8,IC50,6247000.0,2.2,-3.01,0.0
218,2ay8,Kd,5800000.0,2.24,-3.05,0.0
223,1ukt,IC50,5600000.0,2.25,-3.07,0.0
226,4eh9,IC50,5453000.0,2.26,-3.09,0.0
231,4ahu,Kd,5400000.0,2.27,-3.09,0.0
237,2ay1,Kd,5140000.0,2.29,-3.12,0.0
239,4ehv,IC50,5103000.0,2.29,-3.13,0.0
241,1hyv,IC50,5000000.0,2.3,-3.14,0.0
245,1o4g,IC50,5000000.0,2.3,-3.14,0.0
248,2ay7,Kd,5000000.0,2.3,-3.14,0.0
250,2xix,IC50,5000000.0,2.3,-3.14,0.0
267,6au2,Kd,5000000.0,2.3,-3.14,0.0
270,4y0a,Ki,4950000.0,2.31,-3.14,0.0
279,4k3k,IC50,4440000.0,2.35,-3.21,0.0
281,1o4j,IC50,4400000.0,2.36,-3.21,0.0
293,4tya,Kd,4040000.0,2.39,-3.26,0.0
296,3l7b,Ki,4010000.0,2.4,-3.27,0.0
302,1o4r,IC50,3900000.0,2.41,-3.28,0.0
309,1o4h,IC50,3600000.0,2.44,-3.33,0.0
312,2i2b,Ki,3600000.0,2.44,-3.33,0.0
313,2xiy,IC50,3600000.0,2.44,-3.33,0.0
315,3l7c,Ki,3670000.0,2.44,-3.32,0.0
319,1o4o,IC50,3500000.0,2.46,-3.35,0.0
321,3l79,Ki,3460000.0,2.46,-3.36,0.0
322,4ah9,Kd,3500000.0,2.46,-3.35,0.0
324,4eh6,IC50,3471000.0,2.46,-3.35,0.0
327,1tok,Kd,3400000.0,2.47,-3.37,0.0
330,4gne,Kd,3400000.0,2.47,-3.37,0.0
342,1o4q,IC50,3200000.0,2.49,-3.4,0.0
344,4ej2,Ki,3204000.0,2.49,-3.4,0.0
349,4ctj,IC50,3120000.0,2.51,-3.42,0.0
364,4hj2,Kd,2950000.0,2.53,-3.45,0.0
367,1kf0,Kd,2800000.0,2.55,-3.48,0.0
370,5eif,IC50,2800000.0,2.55,-3.48,0.0
373,1gwv,Kd,2680000.0,2.57,-3.51,0.0
379,2ay5,Kd,2600000.0,2.59,-3.52,0.0
386,1o4p,IC50,2500000.0,2.6,-3.55,0.0
394,1cze,Kd,2400000.0,2.62,-3.57,0.0
399,3fk1,Ki,2420000.0,2.62,-3.57,0.0
407,1o4i,IC50,2300000.0,2.64,-3.6,0.0
408,3p1d,IC50,2300000.0,2.64,-3.6,0.0
436,1tc1,IC50,2000000.0,2.7,-3.68,0.0
438,2fzc,Ki,1990000.0,2.7,-3.68,0.0
454,3zsw,Kd,2000000.0,2.7,-3.68,0.0
455,3zsz,Kd,2000000.0,2.7,-3.68,0.0
456,3zt1,Kd,2000000.0,2.7,-3.68,0.0
468,4kpz,IC50,1950000.0,2.71,-3.69,0.0
489,2p3o,IC50,1700000.0,2.77,-3.78,0.0
500,6g24,Kd,1700000.0,2.77,-3.78,0.0
508,3zt4,Kd,1570000.0,2.8,-3.82,0.0
519,4eh4,IC50,1534000.0,2.81,-3.84,0.0
522,1czc,Kd,1500000.0,2.82,-3.85,0.0
523,1p17,Kd,1500000.0,2.82,-3.85,0.0
527,2xj0,IC50,1500000.0,2.82,-3.85,0.0
544,3zt2,Kd,1435000.0,2.84,-3.88,0.0
545,4cgj,Kd,1460000.0,2.84,-3.87,0.0
561,3zt3,Kd,1375000.0,2.86,-3.9,0.0
565,4fgz,IC50,1350000.0,2.87,-3.91,0.0
576,2wtx,Ki,1300000.0,2.89,-3.93,0.0
588,5ngz,Kd,1300000.0,2.89,-3.93,0.0
597,2ay4,Kd,1240000.0,2.91,-3.96,0.0
598,2pri,Ki,1230000.0,2.91,-3.97,0.0
599,4kc1,IC50,1220000.0,2.91,-3.97,0.0
602,1o4k,IC50,1200000.0,2.92,-3.98,0.0
605,2aa9,IC50,1200000.0,2.92,-3.98,0.0
606,2aay,IC50,1200000.0,2.92,-3.98,0.0
630,4y62,IC50,1133000.0,2.95,-4.02,0.0
631,1f4e,Ki,1100000.0,2.96,-4.03,0.0
642,4k3l,IC50,1100000.0,2.96,-4.03,0.0
644,4owm,Ki,1090000.0,2.96,-4.04,0.0
647,2hw2,Ki,1070000.0,2.97,-4.05,0.0
648,4ceb,Kd,1080000.0,2.97,-4.04,0.0
650,2rnw,Kd,1051000.0,2.98,-4.06,0.0
656,3ump,Ki,1026000.0,2.99,-4.08,0.0
663,1w7h,IC50,1000000.0,3.0,-4.09,0.0
665,1wbo,IC50,1000000.0,3.0,-4.09,0.0
669,1zm7,IC50,1000000.0,3.0,-4.09,0.0
671,2h2e,Kd,1000000.0,3.0,-4.09,0.0
672,2q8h,Kd,1000000.0,3.0,-4.09,0.0
677,2vtm,IC50,1000000.0,3.0,-4.09,0.0
706,4txs,Kd,1010000.0,3.0,-4.08,0.0
745,4qp2,Kd,940000.0,3.03,-4.13,0.0
752,3zvv,IC50,915000.0,3.04,-4.14,0.0
759,1o41,IC50,900000.0,3.05,-4.15,0.0
783,6fh3,Kd,850000.0,3.07,-4.19,0.0
784,1hiy,Kd,830000.0,3.08,-4.2,0.0
786,4yv1,IC50,830000.0,3.08,-4.2,0.0
791,4eh5,IC50,818000.0,3.09,-4.21,0.0
793,1a5v,IC50,800000.0,3.1,-4.22,0.0
803,4cjr,Kd,793000.0,3.1,-4.23,0.0
809,4y64,Ki,790000.0,3.1,-4.23,0.0
813,5ggo,Kd,800000.0,3.1,-4.22,0.0
818,1uod,Kd,780000.0,3.11,-4.24,0.0
819,2ay6,Kd,780000.0,3.11,-4.24,0.0
822,3c2r,Kd,780000.0,3.11,-4.24,0.0
833,4cgi,Kd,752000.0,3.12,-4.26,0.0
848,6g27,Kd,731000.0,3.14,-4.28,0.0
852,1noi,Ki,700000.0,3.15,-4.3,0.0
853,1noj,Ki,700000.0,3.15,-4.3,0.0
854,1nok,Ki,700000.0,3.15,-4.3,0.0
858,3cgy,Kd,715000.0,3.15,-4.29,0.0
864,5e5g,Kd,700000.0,3.15,-4.3,0.0
876,3kpu,Kd,690000.0,3.16,-4.31,0.0
878,4eh2,IC50,692000.0,3.16,-4.31,0.0
889,1lbk,Kd,668000.0,3.18,-4.33,0.0
890,1ro7,Ki,657000.0,3.18,-4.34,0.0
892,3at1,Ki,660000.0,3.18,-4.34,0.0
896,2zdx,IC50,648000.0,3.19,-4.35,0.0
911,5cs6,Kd,630000.0,3.2,-4.36,0.0
915,1s5z,Kd,620000.0,3.21,-4.37,0.0
925,1k1y,Ki,600000.0,3.22,-4.39,0.0
928,1tog,Kd,600000.0,3.22,-4.39,0.0
929,1x6u,Ki,600000.0,3.22,-4.39,0.0
944,3zsy,Kd,595000.0,3.23,-4.4,0.0
945,4kc4,IC50,584000.0,3.23,-4.41,0.0
947,4unp,Kd,590000.0,3.23,-4.4,0.0
951,3qfz,Ki,570000.0,3.24,-4.42,0.0
957,5o0a,Kd,580000.0,3.24,-4.41,0.0
966,1l5s,Kd,550000.0,3.26,-4.44,0.0
972,1axr,Ki,540000.0,3.27,-4.46,0.0
974,4jbl,Kd,540000.0,3.27,-4.46,0.0
978,1g9t,Ki,526000.0,3.28,-4.47,0.0
979,1x07,Kd,520000.0,3.28,-4.48,0.0
982,3ms4,IC50,524300.0,3.28,-4.47,0.0
983,3tfu,Ki,520000.0,3.28,-4.48,0.0
984,3zsx,Kd,519000.0,3.28,-4.48,0.0
985,4eh7,IC50,520000.0,3.28,-4.48,0.0
986,4fl1,Kd,520000.0,3.28,-4.48,0.0
987,4yv0,IC50,530000.0,3.28,-4.47,0.0
999,1o4e,IC50,500000.0,3.3,-4.5,0.0
1000,1phw,Ki,500000.0,3.3,-4.5,0.0
1004,2aq7,IC50,500000.0,3.3,-4.5,0.0
1005,2aqb,IC50,500000.0,3.3,-4.5,0.0
1009,2w0s,Kd,500000.0,3.3,-4.5,0.0
1021,3h2c,IC50,500000.0,3.3,-4.5,0.0
1026,3n1v,IC50,500000.0,3.3,-4.5,0.0
1027,3n1w,IC50,500000.0,3.3,-4.5,0.0
1028,3n3l,IC50,500000.0,3.3,-4.5,0.0
1029,3n45,IC50,500000.0,3.3,-4.5,0.0
1047,5ggp,Kd,500000.0,3.3,-4.5,0.0
1054,5oul,Kd,500000.0,3.3,-4.5,0.0
1063,3msc,IC50,484200.0,3.31,-4.52,0.0
1064,4kc2,IC50,493000.0,3.31,-4.51,0.0
1066,5fe7,Kd,488000.0,3.31,-4.52,0.0
1070,2wk6,Ki,480000.0,3.32,-4.52,0.0
1072,4cjp,Kd,481000.0,3.32,-4.52,0.0
1084,1jlr,Kd,465000.0,3.33,-4.54,0.0
1094,6sy7,Kd,470000.0,3.33,-4.54,0.0
1100,4cp5,Kd,452000.0,3.34,-4.56,0.0
1102,4yuy,IC50,460000.0,3.34,-4.55,0.0
1103,5ehi,IC50,452000.0,3.34,-4.56,0.0
1105,3c2o,Kd,450000.0,3.35,-4.56,0.0
1108,4gnf,Kd,450000.0,3.35,-4.56,0.0
1115,5ze6,IC50,450000.0,3.35,-4.56,0.0
1118,1ahy,Kd,440000.0,3.36,-4.58,0.0
1123,3zzh,IC50,440000.0,3.36,-4.58,0.0
1124,4cj4,Kd,432000.0,3.36,-4.59,0.0
1140,1z34,IC50,420000.0,3.38,-4.6,0.0
1141,2fzg,Ki,420000.0,3.38,-4.6,0.0
1147,1toj,Kd,410000.0,3.39,-4.62,0.0
1148,2j9h,Ki,410000.0,3.39,-4.62,0.0
1149,3mrx,IC50,406500.0,3.39,-4.62,0.0
1151,4lhm,Ki,410000.0,3.39,-4.62,0.0
1172,2q8i,IC50,400000.0,3.4,-4.63,0.0
1174,2rnx,Kd,402000.0,3.4,-4.63,0.0
1183,5uah,IC50,398000.0,3.4,-4.64,0.0
1188,3nba,Ki,388000.0,3.41,-4.65,0.0
1194,1hyz,IC50,380000.0,3.42,-4.66,0.0
1195,2qtn,Kd,382000.0,3.42,-4.66,0.0
1199,3kqp,Kd,380000.0,3.42,-4.66,0.0
1202,4c71,Ki,384000.0,3.42,-4.66,0.0
1203,4d8a,IC50,376000.0,3.42,-4.67,0.0
1205,4mi9,Ki,376870.0,3.42,-4.67,0.0
1206,4n8q,Ki,380000.0,3.42,-4.66,0.0
1209,1kti,Ki,370000.0,3.43,-4.68,0.0
1214,3axz,Kd,372000.0,3.43,-4.68,0.0
1215,3ms7,IC50,370000.0,3.43,-4.68,0.0
1220,5osl,Kd,375000.0,3.43,-4.67,0.0
1224,4umc,Ki,360000.0,3.44,-4.7,0.0
1225,5wi0,IC50,360000.0,3.44,-4.7,0.0
1229,4c6z,Ki,357000.0,3.45,-4.7,0.0
1231,1moq,Ki,350000.0,3.46,-4.71,0.0
1233,1wcc,IC50,350000.0,3.46,-4.71,0.0
1245,4qp6,Kd,343000.0,3.46,-4.72,0.0
1250,6q4e,Kd,350000.0,3.46,-4.71,0.0
1251,3mtd,IC50,340500.0,3.47,-4.73,0.0
