Unnamed: 0,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
7,1wkm,Ki,150000000.0,0.82,-1.12,0.0
12,2b1r,Ki,101000000.0,1.0,-1.36,0.0
13,2d2v,Ki,100000000.0,1.0,-1.36,0.0
20,4fci,Ki,55000000.0,1.26,-1.72,0.0
21,4fck,Ki,55000000.0,1.26,-1.72,0.0
29,5mnc,Kd,48500000.0,1.31,-1.79,0.0
30,5mny,Kd,48500000.0,1.31,-1.79,0.0
31,5moo,Kd,48500000.0,1.31,-1.79,0.0
32,2vl1,Ki,45000000.0,1.35,-1.84,0.0
33,3nm6,Kd,45000000.0,1.35,-1.84,0.0
36,1hty,IC50,40000000.0,1.4,-1.91,0.0
40,2hdq,Ki,40000000.0,1.4,-1.91,0.0
44,1utp,Kd,36000000.0,1.44,-1.97,0.0
46,1tnk,Ki,32500000.0,1.49,-2.03,0.0
58,2b1q,Ki,26000000.0,1.59,-2.16,0.0
63,1a7t,Ki,23000000.0,1.64,-2.23,0.0
67,2o9r,Ki,21000000.0,1.68,-2.29,0.0
68,4qsw,Kd,21000000.0,1.68,-2.29,0.0
75,3g6m,Ki,19700000.0,1.71,-2.33,0.0
76,2hdr,Ki,19000000.0,1.72,-2.35,0.0
81,1u2y,Ki,18000000.0,1.74,-2.38,0.0
82,4qsx,Kd,18000000.0,1.74,-2.38,0.0
85,5zef,IC50,17900000.0,1.75,-2.38,0.0
89,2zgm,Ki,16399999.999999998,1.79,-2.43,0.0
91,3rxh,IC50,15700000.0,1.8,-2.46,0.0
93,1bra,Ki,15000000.0,1.82,-2.49,0.0
94,1d5r,Ki,15000000.0,1.82,-2.49,0.0
100,3khv,Ki,13990000.0,1.85,-2.53,0.0
102,1tnl,Ki,13300000.0,1.88,-2.56,0.0
104,4x8s,Ki,13000000.0,1.89,-2.57,0.0
105,1f2p,Ki,12700000.0,1.9,-2.59,0.0
107,1f2o,Ki,12400000.0,1.91,-2.6,0.0
115,1tnj,Ki,11000000.0,1.96,-2.67,0.0
118,1wdq,Kd,10450000.0,1.98,-2.7,0.0
121,3i3d,Ki,10300000.0,1.99,-2.71,0.0
122,1gbt,Ki,10000000.0,2.0,-2.73,0.0
123,1ing,IC50,10000000.0,2.0,-2.73,0.0
125,2hds,Ki,10000000.0,2.0,-2.73,0.0
128,3g2y,Ki,10000000.0,2.0,-2.73,0.0
133,4kz5,Ki,10000000.0,2.0,-2.73,0.0
134,4qsu,Kd,10000000.0,2.0,-2.73,0.0
135,4qsv,Kd,10000000.0,2.0,-2.73,0.0
137,4y4g,Kd,10000000.0,2.0,-2.73,0.0
144,1jfh,Ki,9000000.0,2.05,-2.79,0.0
147,4x8t,Kd,8900000.0,2.05,-2.8,0.0
149,1qq9,Ki,8700000.0,2.06,-2.81,0.0
155,3rxp,IC50,8300000.000000001,2.08,-2.84,0.0
162,3uf9,Ki,7780000.0,2.11,-2.88,0.0
164,1qx1,Ki,7500000.0,2.12,-2.9,0.0
166,3gv9,Ki,7500000.0,2.12,-2.9,0.0
171,6dim,IC50,7200000.0,2.14,-2.92,0.0
172,6djd,IC50,7200000.0,2.14,-2.92,0.0
174,3rxg,IC50,7100000.0,2.15,-2.93,0.0
185,3gqz,Ki,6700000.0,2.17,-2.96,0.0
186,4y3j,Kd,6800000.0,2.17,-2.96,0.0
198,1w1v,IC50,6300000.0,2.2,-3.0,0.0
203,1icj,Ki,6000000.0,2.22,-3.03,0.0
213,1ajp,Ki,5850000.0,2.23,-3.04,0.0
216,3i3b,Ki,5900000.0,2.23,-3.04,0.0
224,1ew8,Ki,5500000.0,2.26,-3.08,0.0
230,1uto,Kd,5320000.0,2.27,-3.1,0.0
233,1ps3,Ki,5200000.0,2.28,-3.11,0.0
235,3fu0,IC50,5308000.0,2.28,-3.1,0.0
242,1inh,IC50,5000000.0,2.3,-3.14,0.0
247,1w1p,IC50,5000000.0,2.3,-3.14,0.0
249,2hdu,Ki,5000000.0,2.3,-3.14,0.0
251,2xlc,Ki,5000000.0,2.3,-3.14,0.0
252,3dyo,Ki,5000000.0,2.3,-3.14,0.0
253,3kgq,Ki,5000000.0,2.3,-3.14,0.0
254,3mhw,Ki,5030000.0,2.3,-3.13,0.0
262,4wh7,IC50,5000000.0,2.3,-3.14,0.0
274,1z6d,Ki,4600000.0,2.34,-3.19,0.0
275,4iie,Ki,4600000.0,2.34,-3.19,0.0
277,1qi0,Ki,4500000.0,2.35,-3.2,0.0
278,3gtc,Ki,4500000.0,2.35,-3.2,0.0
280,4y3y,Kd,4500000.0,2.35,-3.2,0.0
282,3g2z,Ki,4400000.0,2.36,-3.21,0.0
284,3t0d,Ki,4300000.0,2.37,-3.23,0.0
286,6rnt,Kd,4300000.0,2.37,-3.23,0.0
289,6md8,Ki,4200000.0,2.38,-3.24,0.0
291,1nwl,Ki,4100000.0,2.39,-3.25,0.0
295,3dxg,Ki,4000000.0,2.4,-3.27,0.0
300,4y38,Kd,4000000.0,2.4,-3.27,0.0
301,4zsm,IC50,4000000.0,2.4,-3.27,0.0
310,1oba,Kd,3600000.0,2.44,-3.33,0.0
311,1t4s,Ki,3600000.0,2.44,-3.33,0.0
314,3ked,IC50,3600000.0,2.44,-3.33,0.0
316,3mjl,Ki,3600000.0,2.44,-3.33,0.0
325,4x8u,Ki,3500000.0,2.46,-3.35,0.0
328,1utl,Kd,3410000.0,2.47,-3.36,0.0
329,3rik,IC50,3400000.0,2.47,-3.37,0.0
331,4y4j,Kd,3400000.0,2.47,-3.37,0.0
332,5dv4,IC50,3370000.0,2.47,-3.37,0.0
333,5jal,Kd,3400000.0,2.47,-3.37,0.0
337,4ze6,Kd,3300000.0,2.48,-3.38,0.0
338,5mn1,Kd,3300000.0,2.48,-3.38,0.0
339,5mnb,Kd,3300000.0,2.48,-3.38,0.0
