Unnamed: 0,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
4,1zsb,Kd,250000000.0,0.6,-0.82,0.0
19,4to8,IC50,56900000.0,1.24,-1.7,0.0
22,4clp,Kd,54200000.0,1.27,-1.73,0.0
23,1f9g,Ki,53000000.0,1.28,-1.74,0.0
26,2fah,Ki,50000000.0,1.3,-1.77,0.0
34,1qpb,Kd,44000000.0,1.36,-1.85,0.0
41,3eor,Kd,40000000.0,1.4,-1.91,0.0
53,4amw,Ki,28300000.0,1.55,-2.11,0.0
61,2it4,Ki,24100000.0,1.62,-2.21,0.0
77,3ern,Kd,18910000.0,1.72,-2.35,0.0
145,4e4a,IC50,9000000.0,2.05,-2.79,0.0
157,1njj,Ki,8000000.0,2.1,-2.86,0.0
176,4q90,Ki,7000000.0,2.15,-2.94,0.0
194,4amx,Ki,6500000.0,2.19,-2.98,0.0
204,1m0n,Ki,6000000.0,2.22,-3.03,0.0
236,3ip8,Ki,5200000.0,2.28,-3.11,0.0
240,5fnj,Kd,5150000.0,2.29,-3.12,0.0
258,4e3d,IC50,5000000.0,2.3,-3.14,0.0
260,4jsz,Ki,5000000.0,2.3,-3.14,0.0
269,1m0o,Ki,4900000.0,2.31,-3.15,0.0
287,3f6e,Kd,4140000.0,2.38,-3.25,0.0
290,1f73,Ki,4100000.0,2.39,-3.25,0.0
359,4e3f,IC50,3000000.0,2.52,-3.44,0.0
387,2c4v,Ki,2500000.0,2.6,-3.55,0.0
410,4q7w,Ki,2300000.0,2.64,-3.6,0.0
411,4q8y,Ki,2300000.0,2.64,-3.6,0.0
430,3elc,Kd,2020000.0,2.69,-3.67,0.0
431,4usw,Kd,2030000.0,2.69,-3.67,0.0
437,1ylv,Ki,2000000.0,2.7,-3.68,0.0
486,4bt5,Ki,1720000.0,2.76,-3.77,0.0
491,3l0n,IC50,1680000.0,2.77,-3.78,0.0
543,3moh,Ki,1460000.0,2.84,-3.87,0.0
554,4mlt,Ki,1400000.0,2.85,-3.89,0.0
568,2woq,Ki,1330000.0,2.88,-3.92,0.0
573,1ugp,Ki,1300000.0,2.89,-3.93,0.0
575,2wpb,Ki,1300000.0,2.89,-3.93,0.0
587,5flt,Kd,1280000.0,2.89,-3.94,0.0
612,3iaf,Ki,1200000.0,2.92,-3.98,0.0
645,5fng,Kd,1105000.0,2.96,-4.03,0.0
649,5flq,Kd,1080000.0,2.97,-4.04,0.0
659,1ecq,Ki,1000000.0,3.0,-4.09,0.0
661,1mcz,Ki,1000000.0,3.0,-4.09,0.0
685,3eka,IC50,1000000.0,3.0,-4.09,0.0
703,4oyp,IC50,1000000.0,3.0,-4.09,0.0
704,4oz2,IC50,1000000.0,3.0,-4.09,0.0
712,5ehw,Kd,1005000.0,3.0,-4.09,0.0
733,4q81,Ki,950000.0,3.02,-4.12,0.0
743,3esj,Kd,925000.0,3.03,-4.14,0.0
755,5fls,Kd,905000.0,3.04,-4.15,0.0
756,1f74,Ki,900000.0,3.05,-4.15,0.0
758,1gzg,IC50,900000.0,3.05,-4.15,0.0
766,4guj,Kd,900000.0,3.05,-4.15,0.0
780,1s26,Ki,850000.0,3.07,-4.19,0.0
781,3mof,Ki,860000.0,3.07,-4.18,0.0
787,5ehv,Kd,826000.0,3.08,-4.2,0.0
795,1ec9,Ki,800000.0,3.1,-4.22,0.0
812,5eh8,Kd,791000.0,3.1,-4.23,0.0
832,4bt3,Ki,760000.0,3.12,-4.25,0.0
865,5flo,Kd,709000.0,3.15,-4.29,0.0
898,3g1v,Ki,645000.0,3.19,-4.35,0.0
900,4mlx,Ki,650000.0,3.19,-4.35,0.0
913,5flp,Kd,631000.0,3.2,-4.36,0.0
930,1zc9,Kd,600000.0,3.22,-4.39,0.0
971,5yas,Ki,550000.0,3.26,-4.44,0.0
1035,4jss,Ki,500000.0,3.3,-4.5,0.0
1090,4b5w,Kd,470000.0,3.33,-4.54,0.0
1099,4bt4,Ki,460000.0,3.34,-4.55,0.0
1144,3w07,Kd,420000.0,3.38,-4.6,0.0
1173,2qcd,IC50,400000.0,3.4,-4.63,0.0
1189,4yas,Ki,390000.0,3.41,-4.65,0.0
1211,2c57,Ki,370000.0,3.43,-4.68,0.0
1266,3g1d,Ki,330000.0,3.48,-4.75,0.0
1270,5eh7,Kd,330000.0,3.48,-4.75,0.0
1271,5fni,Kd,330000.0,3.48,-4.75,0.0
1284,4b5s,Kd,320000.0,3.49,-4.76,0.0
1303,4lpf,Ki,310000.0,3.51,-4.78,0.0
1320,3c14,Ki,300000.0,3.52,-4.8,0.0
1332,4oyo,IC50,300000.0,3.52,-4.8,0.0
1364,2cle,Kd,280000.0,3.55,-4.84,0.0
1365,2clf,Kd,280000.0,3.55,-4.84,0.0
1366,2clm,Kd,280000.0,3.55,-4.84,0.0
1402,4q8x,Ki,270000.0,3.57,-4.87,0.0
1427,4q7v,Ki,260000.0,3.59,-4.89,0.0
1438,1w31,Ki,250000.0,3.6,-4.91,0.0
1515,4gui,Kd,230000.0,3.64,-4.96,0.0
1516,4iuo,Kd,230000.0,3.64,-4.96,0.0
1531,1l6y,IC50,220000.0,3.66,-4.99,0.0
1536,3ex6,Ki,220000.0,3.66,-4.99,0.0
1570,2za3,Ki,210000.0,3.68,-5.01,0.0
1602,1h0r,Ki,200000.0,3.7,-5.04,1e-05
1603,1i43,Ki,200000.0,3.7,-5.04,1e-05
1604,1loq,Ki,200000.0,3.7,-5.04,1e-05
1605,1pdz,Ki,200000.0,3.7,-5.04,1e-05
1616,3ex2,IC50,200000.0,3.7,-5.04,1e-05
1621,3n7a,Ki,200000.0,3.7,-5.04,1e-05
1737,3vi2,IC50,170000.0,3.77,-5.14,1e-05
1765,2clk,Kd,164000.0,3.79,-5.16,1e-05
1830,2osf,Ki,148000.0,3.83,-5.22,1e-05
1863,4kiu,Ki,140000.0,3.85,-5.25,1e-05
1892,3wjw,Ki,134000.0,3.87,-5.28,1e-05
1911,1m0q,Ki,130000.0,3.89,-5.3,1e-05
1912,1xfv,Kd,130000.0,3.89,-5.3,1e-05
1916,3iae,Ki,130000.0,3.89,-5.3,1e-05
1932,1avn,Kd,125000.0,3.9,-5.32,1e-05
2012,3fsj,Kd,113000.0,3.95,-5.38,1e-05
2077,2q8y,Kd,102000.0,3.99,-5.44,1e-05
2100,1wc1,Ki,100000.0,4.0,-5.45,1e-05
2101,1wc6,Ki,100000.0,4.0,-5.45,1e-05
2104,2brp,IC50,100000.0,4.0,-5.45,1e-05
2112,2ot1,Ki,100000.0,4.0,-5.45,1e-05
2130,4bcw,Ki,100000.0,4.0,-5.45,1e-05
2136,4p6c,Ki,100000.0,4.0,-5.45,1e-05
2180,3fzn,Kd,97000.0,4.01,-5.47,1e-05
2249,1tuf,Ki,89000.0,4.05,-5.52,1e-05
2250,2rk7,Ki,89000.0,4.05,-5.52,1e-05
2256,3n8k,Kd,90000.0,4.05,-5.52,1e-05
2265,2clh,Kd,87600.0,4.06,-5.53,1e-05
2266,2clo,Kd,87600.0,4.06,-5.53,1e-05
2309,3kwa,Ki,84000.0,4.08,-5.56,1e-05
2338,1rry,IC50,80000.0,4.1,-5.59,1e-05
2347,3ewz,IC50,79000.0,4.1,-5.59,1e-05
2361,5w7x,Kd,80000.0,4.1,-5.59,1e-05
2369,1d6s,Kd,78000.0,4.11,-5.6,1e-05
2447,3axk,Ki,70000.0,4.15,-5.66,1e-05
2450,3dz2,IC50,70000.0,4.15,-5.66,1e-05
2452,3q8h,Kd,70000.0,4.15,-5.66,1e-05
2495,4oma,Ki,68000.0,4.17,-5.68,1e-05
2540,4q83,Ki,64000.0,4.19,-5.72,2e-05
2661,6s7k,IC50,57000.0,4.24,-5.79,2e-05
2758,1rs2,IC50,50000.0,4.3,-5.86,2e-05
2761,2cli,Kd,50000.0,4.3,-5.86,2e-05
2762,2cll,Kd,50000.0,4.3,-5.86,2e-05
2771,3moe,Ki,50000.0,4.3,-5.86,2e-05
2785,4kij,Ki,50000.0,4.3,-5.86,2e-05
2856,4q7p,Ki,48000.0,4.32,-5.89,2e-05
2918,2ez7,Kd,43500.0,4.36,-5.95,2e-05
2938,4clz,IC50,43000.0,4.37,-5.95,2e-05
3029,1i8j,IC50,39000.0,4.41,-6.01,3e-05
3030,1l6s,IC50,39000.0,4.41,-6.01,3e-05
3054,1rsi,IC50,38000.0,4.42,-6.03,3e-05
3055,1tjp,Kd,38000.0,4.42,-6.03,3e-05
3067,4q7s,Ki,38000.0,4.42,-6.03,3e-05
3115,2amt,Kd,36000.0,4.44,-6.06,3e-05
3117,2q9y,Ki,36000.0,4.44,-6.06,3e-05
3118,3ex3,IC50,36000.0,4.44,-6.06,3e-05
3187,4cix,Ki,34000.0,4.47,-6.09,3e-05
3299,1gu1,Ki,30000.0,4.52,-6.17,3e-05
3322,3g4f,IC50,30000.0,4.52,-6.17,3e-05
3352,6ami,Kd,30000.0,4.52,-6.17,3e-05
3386,2zz1,Ki,29000.0,4.54,-6.19,3e-05
3387,2zz2,Ki,29000.0,4.54,-6.19,3e-05
3411,6p5o,Ki,28600.0,4.54,-6.19,3e-05
3416,1rrw,IC50,28000.0,4.55,-6.21,4e-05
3435,4hkp,IC50,28300.0,4.55,-6.2,4e-05
3438,4myd,Kd,28000.0,4.55,-6.21,4e-05
3439,4oz3,IC50,28000.0,4.55,-6.21,4e-05
3459,1i41,Ki,27000.0,4.57,-6.23,4e-05
3466,3n8n,Ki,27000.0,4.57,-6.23,4e-05
3471,4ciy,Ki,27000.0,4.57,-6.23,4e-05
3541,6nd3,IC50,26000.0,4.59,-6.25,4e-05
3543,1f7b,Ki,25000.0,4.6,-6.27,4e-05
3567,3d7k,Kd,25000.0,4.6,-6.27,4e-05
3585,5nx9,Kd,25000.0,4.6,-6.27,4e-05
3623,3ewu,IC50,24000.0,4.62,-6.3,4e-05
3626,3l0k,IC50,24000.0,4.62,-6.3,4e-05
3772,2nsl,Kd,20900.0,4.68,-6.38,5e-05
3789,5fus,IC50,21100.0,4.68,-6.37,5e-05
3790,5j5d,IC50,21000.0,4.68,-6.38,5e-05
3831,2c4w,Ki,20000.0,4.7,-6.41,5e-05
3833,2dw7,Ki,20000.0,4.7,-6.41,5e-05
3850,3k5i,Kd,20000.0,4.7,-6.41,5e-05
3853,3lm1,Kd,20000.0,4.7,-6.41,5e-05
3887,5wg7,Ki,20000.0,4.7,-6.41,5e-05
3948,4oyi,IC50,19000.0,4.72,-6.44,5e-05
3961,1m51,IC50,18800.0,4.73,-6.44,5e-05
3991,3g3d,Ki,18200.0,4.74,-6.46,5e-05
4007,4kyk,Ki,18000.0,4.74,-6.47,6e-05
4089,5cwa,IC50,17000.0,4.77,-6.5,6e-05
4107,6s7s,IC50,17000.0,4.77,-6.5,6e-05
4119,2nsj,Kd,16300.0,4.79,-6.53,6e-05
4189,1v1j,Ki,15000.0,4.82,-6.58,7e-05
4195,2gzl,Kd,15000.0,4.82,-6.58,7e-05
4210,3h0v,IC50,15000.0,4.82,-6.58,7e-05
4219,4ciw,Ki,15000.0,4.82,-6.58,7e-05
4231,4rlu,Kd,15200.0,4.82,-6.57,7e-05
4251,3cf9,Ki,14900.0,4.83,-6.58,7e-05
4308,3ohi,Ki,14000.0,4.85,-6.62,7e-05
4323,4q87,Ki,14000.0,4.85,-6.62,7e-05
4364,4rlw,Kd,13400.0,4.87,-6.64,7e-05
4425,6am8,Kd,13000.0,4.89,-6.66,8e-05
4432,3cf8,Ki,12700.0,4.9,-6.68,8e-05
4441,1km3,Ki,12400.0,4.91,-6.69,8e-05
4461,1h4n,Ki,12000.0,4.92,-6.71,8e-05
4471,3azb,IC50,12000.0,4.92,-6.71,8e-05
4558,4civ,Ki,11200.0,4.95,-6.75,9e-05
4591,3n87,Ki,11000.0,4.96,-6.76,9e-05
4598,4jsa,Ki,11000.0,4.96,-6.76,9e-05
4601,4oym,IC50,11000.0,4.96,-6.76,9e-05
4604,4rlt,Kd,10900.0,4.96,-6.77,9e-05
4633,4e3g,Ki,10600.0,4.97,-6.78,9e-05
4714,3dp1,IC50,9920.0,5.0,-6.82,0.0001
4729,4cts,Kd,10000.0,5.0,-6.82,0.0001
4733,4lv4,IC50,10000.0,5.0,-6.82,0.0001
4780,2glp,Ki,9700.0,5.01,-6.84,0.0001
4823,5du6,Kd,9600.0,5.02,-6.84,0.0001
4835,4rcg,Kd,9300.0,5.03,-6.86,0.00011
4895,3s76,Kd,9000.0,5.05,-6.88,0.00011
4958,3axm,Ki,8500.0,5.07,-6.91,0.00012
5020,4cq0,Ki,8106.0,5.09,-6.94,0.00012
5050,1zaj,IC50,8000.0,5.1,-6.95,0.00013
5063,3p4v,Ki,8000.0,5.1,-6.95,0.00013
5106,4e49,Ki,7700.0,5.11,-6.97,0.00013
5136,3tu9,IC50,7500.0,5.12,-6.99,0.00013
5143,4kiw,Ki,7500.0,5.12,-6.99,0.00013
5161,3aza,IC50,7400.0,5.13,-7.0,0.00014
5211,1jcx,Ki,7000.0,5.15,-7.03,0.00014
5292,3b7j,Ki,6800.0,5.17,-7.05,0.00015
5383,5f91,Ki,6300.0,5.2,-7.09,0.00016
5428,6pvu,Ki,6200.0,5.21,-7.1,0.00016
5494,2q38,Ki,5950.0,5.23,-7.12,0.00017
5518,1s89,Ki,5800.0,5.24,-7.14,0.00017
5581,5du4,Kd,5600.0,5.25,-7.16,0.00018
5598,3n9s,Kd,5500.0,5.26,-7.17,0.00018
