PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA, ENV_HBA_OCC_SUM, ENV_HBA_OCC_MAX, ENV_HBD_OCC_SUM, ENV_HBD_OCC_MAX, PI_AR_SCORE_SUM, PI_AR_SCORE_MAX, AR_PI_SCORE_SUM, AR_PI_SCORE_MAX, H_H_SCORE_SUM, H_H_SCORE_MAX, AR_AR_SCORE_SUM, AR_AR_SCORE_MAX, HBD_HBA_SCORE_SUM, HBD_HBA_SCORE_MAX, HBA_HBD_SCORE_SUM, HBA_HBD_SCORE_MAX, XBD_XBA_SCORE_SUM, XBD_XBA_SCORE_MAX, ES_ENERGY, ES_ENERGY_SQRD_DIST, VDW_ENERGY_ATT, VDW_ENERGY_REP
model35,0.0,0.0,1.0,10.0,4.0,7.0,0.0,0.0,36.0,3.0,3.315697502821,0.0076540877142005,144.45,21.065125590120623,17.318088391508212,0.9175739897114402,0.9175739281461932,0.0,0.0,0.0,0.0,12.20321287065409,2.1591865344981374,0.9999336988384128,0.9999042076094692,4.605130203898974,3.8250358579895463,2.516412490405221,2.5062033730869144,0.0,0.0,-0.2137962660065532,-0.240212084147098,-223.4727404997616,106.55442542140618
6qcb,0.0,0.0,1.0,17.0,4.0,4.0,0.0,0.0,35.0,3.0,7.211528760047001,4.5259116102894,107.53,21.711079005489545,16.707734824926185,0.873510432551082,0.8735103381431323,0.0,0.0,0.0,0.0,23.94922269514213,4.548585847548797,0.9999061883213326,0.999880156864738,4.632290334271772,3.833628980977329,2.3930853036709463,2.382905614561147,0.0,0.0,-0.255761305626814,-0.2319012622358359,-236.88269972593235,113.57131790762443
model36,0.0,0.0,1.0,18.0,3.0,3.0,0.0,0.0,34.0,3.0,7.551370700926,5.595157520304401,87.29999999999998,21.261408491807764,16.256896741946658,0.8584928121694865,0.8584925390877574,0.0,0.0,0.0,0.0,23.368613344736165,4.655415405444753,0.999892644215524,0.9998823193982346,3.068620133423952,2.9973235236171085,2.282697127167638,2.273113971785496,0.0,0.0,-0.2543609383303039,-0.2218665456790982,-228.27601306749875,106.26969327599204
model31,0.0,0.0,1.0,16.0,5.0,5.0,0.0,0.0,35.0,3.0,6.709049740707,3.1595909467984,127.76,19.35957054738532,15.295686330075396,0.8593863617394665,0.8593861765057125,0.0,0.0,0.0,0.0,22.831541433765253,4.248031829344966,0.9999763760984668,0.9999587893522236,5.677614115775472,4.8224889422510415,2.220506258977161,2.209302674453104,0.0,0.0,-0.1472735093620489,-0.2221907423055673,-231.26015781053312,112.32933418846848
6qbg,0.0,0.0,2.0,21.0,4.0,4.0,0.0,0.0,39.0,3.0,8.475888393139,5.7902712433814,107.53000000000002,22.24326069330104,18.259979104392528,0.940445356476586,0.940445260299813,0.0,0.0,0.0,0.0,24.909895393167528,5.385663006292565,2.000721735610962,1.9997101243477895,4.896989328096571,3.8181770434968167,2.3568504218553388,2.3482296130628897,0.0,0.0,-0.3683435581035746,-0.2464834886891661,-248.72658561210167,119.91968830327316
model24,0.0,0.0,1.0,11.0,4.0,5.0,0.0,0.0,34.0,3.0,5.3034020912290005,2.6043578405155,148.66,21.42244873084461,16.42137398646272,0.8791473624185685,0.8791472795617138,0.0,0.0,0.0,0.0,15.077469798335189,3.196359001181728,1.0000044028238315,0.9999946294980464,4.84494084548614,3.8226195281910345,2.4122321429725875,2.4044719871211027,0.0,0.0,-0.4197875465199615,-0.2295727426651651,-229.26759261675969,111.72102078302214
model25,0.0,0.0,2.0,18.0,4.0,5.0,0.0,0.0,39.0,4.0,7.157737250981,4.0081084207116,120.42,19.367100348573903,15.884557014869378,0.8382823076628899,0.8382822636562763,0.0,0.0,0.0,0.0,23.444096640857733,4.5201143546696,1.0158749929472817,1.015853950233457,4.646710754648388,3.83034607788338,2.86515771203589,2.856751667478925,0.0,0.0,-0.2950133070446325,-0.2524205852635011,-246.6236433977729,118.39314781241364
6qbh,0.0,0.0,1.0,19.0,4.0,4.0,0.0,0.0,36.0,3.0,7.407497124597,4.5882488190044,116.76,18.717835591767127,15.726820247365849,0.9206978313642488,0.9206977259844918,0.0,0.0,0.0,0.0,22.198746747844183,4.487574692572728,0.9999109087408962,0.9998542777389542,4.546373296457064,3.799654792824704,2.463613672730845,2.455299123251024,0.0,0.0,-0.1929485707974593,-0.224884626421082,-234.05515383882687,112.11628913496132
model22,0.0,0.0,2.0,17.0,5.0,5.0,0.0,0.0,38.0,3.0,7.205735150457,4.5066908997435,123.32,18.13191223618685,14.860704765213535,0.9324124687470166,0.9324124266005284,0.0,0.0,0.0,0.0,19.358857654500618,4.402124058811406,1.0119058163239492,1.0118534229434548,4.633408152034642,3.807350439789587,2.57757755483986,2.5757296278393493,0.0,0.0,-0.1568629204222758,-0.2332896909485963,-237.6162497895588,112.16956818449128
model08,0.0,0.0,1.0,16.0,4.0,4.0,0.0,0.0,33.0,2.0,6.709049740707,3.8889949159344,107.53,19.31623908300383,15.370836276382033,0.8597802190080776,0.8597801087264193,0.0,0.0,0.0,0.0,22.74271576342216,4.291717277018775,0.9999630525367263,0.999931672707661,4.64525536178236,3.820394375015145,2.3314057990794046,2.3209209962760275,0.0,0.0,-0.2713802099344531,-0.2372602142182072,-216.13944692990395,103.91233463183876
