PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA, ENV_HBA_OCC_SUM, ENV_HBA_OCC_MAX, ENV_HBD_OCC_SUM, ENV_HBD_OCC_MAX, PI_AR_SCORE_SUM, PI_AR_SCORE_MAX, AR_PI_SCORE_SUM, AR_PI_SCORE_MAX, H_H_SCORE_SUM, H_H_SCORE_MAX, AR_AR_SCORE_SUM, AR_AR_SCORE_MAX, HBD_HBA_SCORE_SUM, HBD_HBA_SCORE_MAX, HBA_HBD_SCORE_SUM, HBA_HBD_SCORE_MAX, XBD_XBA_SCORE_SUM, XBD_XBA_SCORE_MAX, ES_ENERGY, ES_ENERGY_SQRD_DIST, VDW_ENERGY_ATT, VDW_ENERGY_REP
model35,0.0,0.0,1.0,10.0,4.0,7.0,0.0,0.0,36.0,3.0,3.315697502821,0.0076540877142005,144.45,21.065125590120623,17.318088391508212,1.523663245108667,1.523663170564978,0.0,0.0,0.0,0.0,12.20321287065409,2.1591865344981374,0.9999336988384128,0.9999042076094692,4.605130203898974,3.8250358579895463,3.516123625686488,3.505913620134593,0.0,0.0,-0.0992073641407225,-0.255924349613041,-224.72810098529703,107.12465866148963
6qcb,0.0,0.0,1.0,17.0,4.0,4.0,0.0,0.0,35.0,3.0,7.211528760047001,4.5259116102894,107.53,21.711079005489545,16.707734824926185,1.3539252271934972,1.3539250953797015,0.0,0.0,0.0,0.0,23.94922269514213,4.548585847548797,0.9999061883213326,0.999880156864738,4.632290334271772,3.833628980977329,3.391888859955776,3.381708750920017,0.0,0.0,-0.2087487177229661,-0.2495386117318953,-238.12062149424875,114.10955260590208
model36,0.0,0.0,1.0,18.0,3.0,3.0,0.0,0.0,34.0,3.0,7.551370700926,5.595157520304401,87.29999999999998,21.261408491807764,16.256896741946658,0.8866067510446695,0.8866064364179767,0.0,0.0,0.0,0.0,23.368613344736165,4.655415405444753,0.999892644215524,0.9998823193982346,3.068620133423952,2.9973235236171085,2.282697127167652,2.273113971785496,0.0,0.0,-0.1359139890880393,-0.1826225005119339,-229.258202848256,106.4799420641368
model31,0.0,0.0,1.0,16.0,5.0,5.0,0.0,0.0,35.0,3.0,6.709049740707,3.1595909467984,127.76,19.359570547385317,15.295686330075396,1.3013251533749086,1.3013249243222518,0.0,0.0,0.0,0.0,22.831541433765253,4.248031829344966,0.9999763760984668,0.9999587893522236,5.677614115775472,4.8224889422510415,3.2191540426494702,3.207950207326105,0.0,0.0,-0.1736171319569572,-0.2472634942354876,-232.4870841130096,112.863282851871
6qbg,0.0,0.0,2.0,21.0,4.0,4.0,0.0,0.0,39.0,3.0,8.475888393139,5.7902712433814,107.53000000000002,22.24326069330104,18.259979104392528,1.5456784407629671,1.5456783094101274,0.0,0.0,0.0,0.0,24.909895393167528,5.385663006292565,2.000721735610962,1.9997101243477895,4.896989328096571,3.8181770434968167,3.356472801645171,3.3478514570697824,0.0,0.0,-0.2954503861030959,-0.2629327045214215,-249.95206003178643,120.46892586968733
model24,0.0,0.0,1.0,11.0,4.0,5.0,0.0,0.0,34.0,3.0,5.3034020912290005,2.6043578405155,148.66,21.42244873084461,16.42137398646272,1.4541286388855603,1.4541285197884255,0.0,0.0,0.0,0.0,15.077469798335189,3.196359001181728,1.0000044028238315,0.9999946294980464,4.84494084548614,3.8226195281910345,3.411303260647898,3.403542490435798,0.0,0.0,-0.4077105054422126,-0.251131846747798,-230.5155058274852,112.27633870000574
model25,0.0,0.0,2.0,18.0,4.0,5.0,0.0,0.0,39.0,4.0,7.157737250981,4.0081084207116,120.42,19.367100348573903,15.884557014869378,1.363802997361137,1.3638029184258706,0.0,0.0,0.0,0.0,23.444096640857733,4.5201143546696,1.0158749929472817,1.015853950233457,4.646710754648389,3.83034607788338,3.864486718851973,3.856080118933302,0.0,0.0,-0.218585649390954,-0.2679652679000322,-247.85730507668143,118.9398833474765
6qbh,0.0,0.0,1.0,19.0,4.0,4.0,0.0,0.0,36.0,3.0,7.407497124597,4.5882488190044,116.76,18.717835591767127,15.726820247365849,1.559444384305306,1.55944426133609,0.0,0.0,0.0,0.0,22.198746747844183,4.487574692572728,0.9999109087408962,0.9998542777389542,4.546373296457064,3.799654792824704,3.4634747462779822,3.455158722576787,0.0,0.0,-0.0961053328602985,-0.2412147760900533,-235.31162924443535,112.68367524141028
model22,0.0,0.0,2.0,17.0,5.0,5.0,0.0,0.0,38.0,3.0,7.205735150457,4.5066908997435,123.32,18.13191223618685,14.860704765213535,1.4333735082425052,1.4333734419489286,0.0,0.0,0.0,0.0,19.358857654500618,4.402124058811406,1.0119058163239492,1.0118534229434548,4.633408152034641,3.807350439789587,3.577269864639127,3.575421314442478,0.0,0.0,-0.0700957263104615,-0.2465027082991439,-238.85771777719089,112.70345798664822
model08,0.0,0.0,1.0,16.0,4.0,4.0,0.0,0.0,33.0,2.0,6.709049740707,3.8889949159344,107.53,19.31623908300383,15.370836276382033,1.4730697754169144,1.4730696225355513,0.0,0.0,0.0,0.0,22.74271576342216,4.291717277018775,0.9999630525367263,0.999931672707661,4.64525536178236,3.820394375015145,3.331001704385155,3.320516165008216,0.0,0.0,-0.1951980455297879,-0.254170708516334,-217.3868212885249,104.47026812563152
